mean_speed,speed_var,x_accel,y_accel,curvature,loss,scene,cluster
10.582392,0.029758766,-0.02702856,0.00011701137,0.00035461836,15.628952026367188,1a11d93bc5d7d5983c7f4d4a0f86dcb0-145,2
10.443658,0.020961612,0.024595618,0.00034346106,9.118067e-05,14.982083320617676,b3067d0af56ffc8a9e261d2ec6d658cd-148,2
10.617201,0.03213854,-0.028395712,-0.0030986667,0.00039722986,12.926070213317871,1a11d93bc5d7d5983c7f4d4a0f86dcb0-142,2
1.8027711,2.22046,0.2500614,0.01041192,0.11128761,12.369169235229492,7f520c7a75e8e9b8ab885a2a0a7ab5b4-208,3
7.605733,0.001097151,-0.002963066,0.0026806146,0.00027656753,11.689668655395508,22fe0c6fde62bfb5a4d43d5c1f4101d0-133,4
13.8862705,0.8747433,0.26074338,0.32200685,0.00726357,11.665369033813477,be13ab572a2f5b5ef155a3e2bbbf9aa0-131,2
14.247155,0.49508053,0.19036573,0.354644,0.007635026,11.598938941955566,be13ab572a2f5b5ef155a3e2bbbf9aa0-137,2
11.402895,0.77921784,0.20519507,0.0038611526,0.0002526154,11.18956470489502,54a8d79d034d3de050a3f29351499731-139,2
9.174014,0.0030972613,0.022669971,-0.21100007,0.009429662,11.056500434875488,a2fddbadc490132c8c2b1a8a63aaea55-142,2
11.061155,0.013375051,0.030121505,0.0024146452,0.00049306336,10.957049369812012,fb0ed944efebd34d756103188d59da85-143,2
2.7890003,3.3864021,0.35019392,-0.0009496263,0.2520863,10.920761108398438,7cf9eee8001e0e5821725f1665fa8ed9-197,3
6.2644134,0.026775688,0.04145956,0.01637189,0.0016345617,10.903635025024414,2fe32b2cddf4f6e328e294fca52e482f-151,4
11.552345,6.668144,-0.45536667,-0.32897782,0.008789839,10.81421184539795,d1d943b7f0e8036803e262b8e0f9681c-142,0
5.816823,1.4967973,0.28774124,-0.0014331248,0.00030048826,10.674148559570312,dd7e52e9f9e1ae9c50e476b3340d1226-217,4
24.629835,0.6236826,0.12911606,-0.16733603,0.001215456,10.238532066345215,2b74d20f67e018078588074153758632-173,1
8.446501,0.88422513,0.2105732,-0.097950205,0.007470589,10.233196258544922,27b862196b866184a3c6b28dd1cdfbba-140,2
7.689103,0.02824521,0.02716133,-0.0054289885,0.003636009,10.151423454284668,07b4716982f88d85c6e5b350883b2d9b-141,4
18.657692,2.648745,-0.32457018,0.1262204,0.0013800219,10.073527336120605,31935e26a0bd05d0f9bf5285154cb25e-168,1
9.541363,6.5305147,-0.5192634,0.031493142,0.0015342206,9.907925605773926,fb0ed944efebd34d756103188d59da85-159,0
11.781651,0.08926578,0.06652683,-0.002991259,0.000119745586,9.872244834899902,05e1f9ef75f7e47d67f096e05d167dcb-142,2
1.5103998,1.6124057,0.18612349,0.010053173,0.083981246,9.848767280578613,7f520c7a75e8e9b8ab885a2a0a7ab5b4-205,3
0.324451,0.07989251,0.1311154,-0.00029328687,0.30734318,9.789423942565918,dfd6e5dccb25fed9d20ec0b2c94bef13-206,3
11.757973,0.10128099,0.07398313,-0.003124714,0.00012122424,9.703776359558105,05e1f9ef75f7e47d67f096e05d167dcb-141,2
4.7353864,0.2066537,0.10840349,-0.10443082,0.022678839,9.693878173828125,27b862196b866184a3c6b28dd1cdfbba-046,4
24.836739,0.9983095,0.14114082,-0.1768115,0.0012312243,9.57636547088623,2b74d20f67e018078588074153758632-177,1
10.447372,9.327459,-0.59849155,0.13150229,0.0028816238,9.341136932373047,1c03d26f31f89c4e75d406bd2de496f8-168,0
8.237156,5.9178495,-0.52117157,0.0056457757,0.00036149134,9.33999252319336,be13ab572a2f5b5ef155a3e2bbbf9aa0-033,0
8.368936,5.7164855,-0.49580213,0.013281729,0.0006200129,9.33179759979248,3c87e8251965c3ffbc95a320e49d20f6-161,0
1.3304192,0.5820205,0.124048166,-0.006846241,0.04445903,9.246379852294922,7331710f59abdde8b10bce1c48d49b3f-122,3
0.90534174,0.7053891,0.093509406,-0.0009337552,0.2099229,9.229823112487793,a72707e8b188cea7d5724aaf76dda5f3-178,3
5.348919,1.9887354,0.30888194,-0.0022928715,0.00033223274,9.080427169799805,dd7e52e9f9e1ae9c50e476b3340d1226-213,4
